/home/svu/e1723892/.conda/envs/eQMARL_SLAM/lib/python3.9/site-packages/google/api_core/__init__.py:20: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import get_distribution
2026-07-28 23:06:30.395229: I tensorflow/core/platform/cpu_feature_guard.cc:151] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 AVX512F FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2026-07-28 23:06:30.995282: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1525] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 43525 MB memory:  -> device: 0, name: NVIDIA A40, pci bus id: 0000:0a:00.0, compute capability: 8.6
Loading experiment: experiments/active_slam_maa2c_sctde.yml
Training session start at 2026-07-28T23:06:31.365096
Training for 1000 episodes, press 'Ctrl+C' to terminate early

  0%|          | 0/1000 [00:00<?, ?episode/s]
Episode 10:   1%|          | 10/1000 [01:25<2:27:53,  8.96s/episode, collisions=0, coverage=0.794, episode_reward=[1.0380201 1.0380201], occupancy_iou=0.512, path_length=11, pose_rmse=1.14, pose_uncertainty=0.272, redundant_coverage=0.0483, success=0]
Episode 10:   1%|          | 10/1000 [01:32<2:27:53,  8.96s/episode, collisions=3, coverage=0.563, episode_reward=[0.64023685 0.64023685], occupancy_iou=0.247, path_length=6, pose_rmse=3.72, pose_uncertainty=0.269, redundant_coverage=0.0646, success=0]
Episode 11:   1%|          | 10/1000 [01:32<2:27:53,  8.96s/episode, collisions=3, coverage=0.563, episode_reward=[0.64023685 0.64023685], occupancy_iou=0.247, path_length=6, pose_rmse=3.72, pose_uncertainty=0.269, redundant_coverage=0.0646, success=0]
Episode 11:   1%|          | 11/1000 [01:32<2:18:14,  8.39s/episode, collisions=3, coverage=0.563, episode_reward=[0.64023685 0.64023685], occupancy_iou=0.247, path_length=6, pose_rmse=3.72, pose_uncertainty=0.269, redundant_coverage=0.0646, success=0]
Episode 11:   1%|          | 11/1000 [01:32<2:18:14,  8.39s/episode, collisions=3, coverage=0.563, episode_reward=[0.64023685 0.64023685], occupancy_iou=0.247, path_length=6, pose_rmse=3.72, pose_uncertainty=0.269, redundant_coverage=0.0646, success=0]
Episode 11:   1%|          | 11/1000 [01:41<2:18:14,  8.39s/episode, collisions=0, coverage=0.497, episode_reward=[0.21518841 0.21518841], occupancy_iou=0.608, path_length=9, pose_rmse=0.682, pose_uncertainty=0.227, redundant_coverage=0.0786, success=0]
Episode 12:   1%|          | 11/1000 [01:41<2:18:14,  8.39s/episode, collisions=0, coverage=0.497, episode_reward=[0.21518841 0.21518841], occupancy_iou=0.608, path_length=9, pose_rmse=0.682, pose_uncertainty=0.227, redundant_coverage=0.0786, success=0]
Episode 12:   1%|          | 12/1000 [01:41<2:20:06,  8.51s/episode, collisions=0, coverage=0.497, episode_reward=[0.21518841 0.21518841], occupancy_iou=0.608, path_length=9, pose_rmse=0.682, pose_uncertainty=0.227, redundant_coverage=0.0786, success=0]
Episode 12:   1%|          | 12/1000 [01:41<2:20:06,  8.51s/episode, collisions=0, coverage=0.497, episode_reward=[0.21518841 0.21518841], occupancy_iou=0.608, path_length=9, pose_rmse=0.682, pose_uncertainty=0.227, redundant_coverage=0.0786, success=0]
Episode 12:   1%|          | 12/1000 [01:49<2:20:06,  8.51s/episode, collisions=1, coverage=0.575, episode_reward=[1.463695 1.463695], occupancy_iou=0.362, path_length=7, pose_rmse=3.2, pose_uncertainty=0.236, redundant_coverage=0.235, success=0]       
Episode 13:   1%|          | 12/1000 [01:49<2:20:06,  8.51s/episode, collisions=1, coverage=0.575, episode_reward=[1.463695 1.463695], occupancy_iou=0.362, path_length=7, pose_rmse=3.2, pose_uncertainty=0.236, redundant_coverage=0.235, success=0]
Episode 13:   1%|▏         | 13/1000 [01:49<2:19:40,  8.49s/episode, collisions=1, coverage=0.575, episode_reward=[1.463695 1.463695], occupancy_iou=0.362, path_length=7, pose_rmse=3.2, pose_uncertainty=0.236, redundant_coverage=0.235, success=0]
Episode 13:   1%|▏         | 13/1000 [01:49<2:19:40,  8.49s/episode, collisions=1, coverage=0.575, episode_reward=[1.463695 1.463695], occupancy_iou=0.362, path_length=7, pose_rmse=3.2, pose_uncertainty=0.236, redundant_coverage=0.235, success=0]
Episode 13:   1%|▏         | 13/1000 [01:57<2:19:40,  8.49s/episode, collisions=2, coverage=0.45, episode_reward=[0.12830593 0.12830593], occupancy_iou=0.521, path_length=13, pose_rmse=1.45, pose_uncertainty=0.248, redundant_coverage=0.0038, success=0]
Episode 14:   1%|▏         | 13/1000 [01:57<2:19:40,  8.49s/episode, collisions=2, coverage=0.45, episode_reward=[0.12830593 0.12830593], occupancy_iou=0.521, path_length=13, pose_rmse=1.45, pose_uncertainty=0.248, redundant_coverage=0.0038, success=0]
